SA,DG,%N,%O,%S,CD,CAP,CONC
238,0.96,8.7,11.2,,1,113,1
238,0.96,8.7,11.2,,2,105,1
238,0.96,8.7,11.2,,5,103,1
283,0.97,8.5,10.9,,1,168,1
283,0.97,8.5,10.9,,2,160,1
283,0.97,8.5,10.9,,5,147,1
308.8,1.01,1.46,11.94,1.14,0.5,378,6
308.8,1.01,1.46,11.94,1.14,1,352,6
308.8,1.01,1.46,11.94,1.14,2,325,6
308.8,1.01,1.46,11.94,1.14,5,308,6
308.8,1.01,1.46,11.94,1.14,10,292,6
410.2,1.03,2.19,9.14,3.71,0.5,448,6
410.2,1.03,2.19,9.14,3.71,1,399,6
410.2,1.03,2.19,9.14,3.71,2,372,6
410.2,1.03,2.19,9.14,3.71,5,330,6
410.2,1.03,2.19,9.14,3.71,10,300,6
248.8,1.04,2.52,9.36,3.2,0.5,340,6
248.8,1.04,2.52,9.36,3.2,1,302,6
248.8,1.04,2.52,9.36,3.2,2,298,6
248.8,1.04,2.52,9.36,3.2,5,276,6
248.8,1.04,2.52,9.36,3.2,10,265,6
162.4,1.87,,15.34,,0.5,40,6
269.4,2.17,,35.15,11.25,0.5,181.5,6
271.1,2.18,,25.01,7.92,0.5,209.3,6
274.4,2.19,,15.34,3.83,0.5,237,6
280,2.32,,15.07,3.42,0.5,253.2,6
287.9,2.57,,8.11,1.47,0.5,270.4,6
649,1.02,4.12,8.21,,0.5,199.5,6
649,1.02,4.12,8.21,,1,190,6
649,1.02,4.12,8.21,,2,174,6
649,1.02,4.12,8.21,,3,170,6
649,1.02,4.12,8.21,,4,166,6
649,1.02,4.12,8.21,,5,162,6
649,1.02,4.12,8.21,,20,151,6
85,1,3.08,9.26,,0.5,99,6
85,1,3.08,9.26,,1,95,6
85,1,3.08,9.26,,2,89,6
85,1,3.08,9.26,,3,83,6
85,1,3.08,9.26,,4,80.5,6
85,1,3.08,9.26,,5,79.8,6
85,1,3.08,9.26,,20,67,6
198,0.98,1.3,11.9,0.2,0.5,298,6
198,0.98,1.3,11.9,0.2,1,239,6
198,0.98,1.3,11.9,0.2,2,212,6
198,0.98,1.3,11.9,0.2,3,201,6
198,0.98,1.3,11.9,0.2,5,194,6
198,0.98,1.3,11.9,0.2,10,180,6
260,0.99,1.5,11.5,0.3,0.5,431,6
260,0.99,1.5,11.5,0.3,1,309,6
260,0.99,1.5,11.5,0.3,2,263,6
260,0.99,1.5,11.5,0.3,3,218,6
260,0.99,1.5,11.5,0.3,5,206,6
260,0.99,1.5,11.5,0.3,10,193,6
238,0.99,1.6,10.7,0.3,0.5,303,6
238,0.99,1.6,10.7,0.3,1,211,6
238,0.99,1.6,10.7,0.3,2,182,6
238,0.99,1.6,10.7,0.3,3,171,6
238,0.99,1.6,10.7,0.3,5,164,6
238,0.99,1.6,10.7,0.3,10,151,6
1478,0.84,6.92,7.98,0.42,1,270,1
1738,0.89,6.35,8.23,0.31,1,364,1
2095,0.41,5.05,8.94,0.23,1.5,529,1
2095,0.41,5.05,8.94,0.23,3,424.8,1
2095,0.41,5.05,8.94,0.23,6,420,1
2095,0.41,5.05,8.94,0.23,8,377.6,1
2095,0.41,5.05,8.94,0.23,30,347.5,1
830,0.97,8.4,9.2,,0.2,223,6
830,0.97,8.4,9.2,,0.5,216,6
830,0.97,8.4,9.2,,1,209,6
830,0.97,8.4,9.2,,3,205,6
830,0.97,8.4,9.2,,5,200,6
830,0.97,8.4,9.2,,10,176,6
710,0.98,,15.1,,0.2,206,6
710,0.98,,15.1,,0.5,203,6
710,0.98,,15.1,,1,196,6
710,0.98,,15.1,,3,183,6
710,0.98,,15.1,,5,176,6
710,0.98,,15.1,,10,160,6
305.2,0.99,0.9,13.7,0.3,0.5,566,6
305.2,0.99,0.9,13.7,0.3,1,344,6
305.2,0.99,0.9,13.7,0.3,2,280,6
305.2,0.99,0.9,13.7,0.3,3,275,6
305.2,0.99,0.9,13.7,0.3,5,262,6
305.2,0.99,0.9,13.7,0.3,10,249,6
361.1,1,0.3,14.2,,0.5,371,6
361.1,1,0.3,14.2,,1,298,6
361.1,1,0.3,14.2,,2,250,6
361.1,1,0.3,14.2,,3,240,6
361.1,1,0.3,14.2,,5,234,6
361.1,1,0.3,14.2,,10,220,6
322.4,1.03,,13.4,0.1,0.5,282,6
322.4,1.03,,13.4,0.1,1,238,6
322.4,1.03,,13.4,0.1,2,222,6
322.4,1.03,,13.4,0.1,3,210,6
322.4,1.03,,13.4,0.1,5,201,6
322.4,1.03,,13.4,0.1,10,180,6
285.1,1,0.7,14.9,0.2,0.5,385,6
285.1,1,0.7,14.9,0.2,10,219,6
156.9,1,1.3,12.3,3.2,0.5,263,6
156.9,1,1.3,12.3,3.2,10,147,6
187,1.47,1.64,10.1,0.74,0.5,202,6
187,1.47,1.64,10.1,0.74,1,199,6
187,1.47,1.64,10.1,0.74,2,199,6
187,1.47,1.64,10.1,0.74,5,168,6
187,1.47,1.64,10.1,0.74,10,154,6
211,1.48,1.39,11.49,0.7,0.5,204,6
211,1.48,1.39,11.49,0.7,1,200,6
211,1.48,1.39,11.49,0.7,2,196,6
211,1.48,1.39,11.49,0.7,5,174,6
211,1.48,1.39,11.49,0.7,10,160,6
252,1.51,1.96,13.22,0.97,0.5,251,6
252,1.51,1.96,13.22,0.97,1,248,6
252,1.51,1.96,13.22,0.97,2,242,6
252,1.51,1.96,13.22,0.97,5,230,6
252,1.51,1.96,13.22,0.97,10,225,6
710,1.35,1.1,18.8,1.3,1,150,6
710,1.35,1.1,18.8,1.3,2,102,6
710,1.35,1.1,18.8,1.3,3,62,6
710,1.35,1.1,18.8,1.3,5,50,6
710,1.35,1.1,18.8,1.3,10,38,6
710,1.35,1.1,18.8,1.3,20,25,6
396,1.03,2.4,16,,1,140,6
396,1.03,2.4,16,,2,120,6
396,1.03,2.4,16,,3,113,6
396,1.03,2.4,16,,5,80,6
396,1.03,2.4,16,,10,65,6
396,1.03,2.4,16,,20,50,6
1013,1.41,1.7,21,1.1,1,260,6
1013,1.41,1.7,21,1.1,2,200,6
1013,1.41,1.7,21,1.1,3,150,6
1013,1.41,1.7,21,1.1,5,115,6
1013,1.41,1.7,21,1.1,10,103,6
1013,1.41,1.7,21,1.1,20,95,6
1109,1.43,4.2,22.1,1.3,1,420,6
1109,1.43,4.2,22.1,1.3,2,350,6
1109,1.43,4.2,22.1,1.3,3,323,6
1109,1.43,4.2,22.1,1.3,5,305,6
1109,1.43,4.2,22.1,1.3,10,285,6
1109,1.43,4.2,22.1,1.3,20,280,6
1036,1.38,2.6,24.2,1.1,1,280,6
1036,1.38,2.6,24.2,1.1,2,220,6
1036,1.38,2.6,24.2,1.1,3,180,6
1036,1.38,2.6,24.2,1.1,5,140,6
1036,1.38,2.6,24.2,1.1,10,130,6
1036,1.38,2.6,24.2,1.1,20,118,6
85.76,1.06,,31.49,,0.3,184.9,6
85.76,1.06,,31.49,,0.5,180,6
85.76,1.06,,31.49,,1,172,6
85.76,1.06,,31.49,,2,165,6
85.76,1.06,,31.49,,3,158,6
85.76,1.06,,31.49,,5,150,6
85.76,1.06,,31.49,,10,130,6
147.31,0.97,1.1,15.36,,0.3,221.9,6
147.31,0.97,1.1,15.36,,0.5,215,6
147.31,0.97,1.1,15.36,,1,210,6
147.31,0.97,1.1,15.36,,2,202,6
147.31,0.97,1.1,15.36,,3,192,6
147.31,0.97,1.1,15.36,,5,188,6
147.31,0.97,1.1,15.36,,10,178,6
149.32,1.02,1.24,15.45,,0.3,299.7,6
149.32,1.02,1.24,15.45,,0.5,288,6
149.32,1.02,1.24,15.45,,1,277,6
149.32,1.02,1.24,15.45,,2,265,6
149.32,1.02,1.24,15.45,,3,261,6
149.32,1.02,1.24,15.45,,5,255,6
149.32,1.02,1.24,15.45,,10,242,6
155.99,1.03,1.35,16.9,,0.3,257.5,6
155.99,1.03,1.35,16.9,,0.5,250,6
155.99,1.03,1.35,16.9,,1,239,6
155.99,1.03,1.35,16.9,,2,230,6
155.99,1.03,1.35,16.9,,3,227,6
155.99,1.03,1.35,16.9,,5,222,6
155.99,1.03,1.35,16.9,,10,208,6
278.3,0.98,6.8,9.2,,1,175,6
348.7,1.01,7,12.8,,1,200,6
412.3,1.15,10.1,9.6,,1,290,6
337,1.09,8.2,10.9,,1,235,6
263.5,1.03,7.9,10.2,,1,228,6
410.2,1.11,10,9.3,,1,282,6
398.8,1.12,10.1,10.6,,1,272,6
678.73,1.05,2.97,,,0.25,281.02,6
678.73,1.05,2.97,,,0.5,213.8,6
678.73,1.05,2.97,,,1,191.72,6
678.73,1.05,2.97,,,2.5,176.26,6
678.73,1.05,2.97,,,5,167.11,6
678.73,1.05,2.97,,,10,159.18,6
678.73,1.05,2.97,,,25,144.62,6
678.73,1.05,2.97,,,50,135.01,6
678.73,1.05,2.97,,,100,119.29,6
537,1.28,,21.6,8.3,1,367,6
537,1.28,,21.6,8.3,2,338,6
537,1.28,,21.6,8.3,5,283,6
537,1.28,,21.6,8.3,10,246,6
187,1.09,,19.27,2.2,1,210,6
187,1.09,,19.27,2.2,2,158,6
187,1.09,,19.27,2.2,5,138,6
187,1.09,,19.27,2.2,10,94,6
676,1.02,,,26.56,1,480,6
676,1.02,,,26.56,2,450,6
676,1.02,,,26.56,5,390,6
676,1.02,,,26.56,10,350,6
676,1.02,,,26.56,15,301,6
287,1.32,8.45,2.36,,0.5,320,6
287,1.32,8.45,2.36,,1,272,6
287,1.32,8.45,2.36,,5,210,6
287,1.32,8.45,2.36,,10,192,6
287,1.32,8.45,2.36,,20,110,6
530,,,16.2,,0.2,228,6
354,,13.4,9.4,,0.2,239,6
530,,,16.2,,0.5,209,6
354,,13.4,9.4,,0.5,235,6
530,,,16.2,,1,199,6
354,,13.4,9.4,,1,231,6
530,,,16.2,,2,190,6
354,,13.4,9.4,,2,228,6
530,,,16.2,,5,175,6
354,,13.4,9.4,,5,220,6
530,,,16.2,,10,162,6
354,,13.4,9.4,,10,214,6
